,subfield,description,field,url,content
32,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,c x displaystyl c mathcal x rightarrow sigma uniqu decod inject
33,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,c x displaystyl c mathcal x rightarrow sigma instantan c x displaystyl c x prefix c x displaystyl c x vice versa
34,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,principl entropi sourc measur inform
35,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,basic sourc code tri reduc redund present sourc repres sourc fewer bit carri inform
36,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,data compress explicitli tri minim averag length messag accord particular assum probabl model call entropi encod
37,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,variou techniqu use sourc code scheme tri achiev limit entropi sourc
38,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,c x h x h x entropi sourc bitrat c x bitrat compress
39,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,particular sourc code scheme better entropi sourc
40,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,exampl facsimil transmiss use simpl run length code
41,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,sourc code remov data superflu need transmitt decreas bandwidth requir transmiss
42,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,channel code purpos channel code theori find code transmit quickli contain mani valid code word correct least detect mani error
43,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,mutual exclus perform area trade
44,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,differ code optim differ applic
45,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,need properti code mainli depend probabl error happen transmiss
46,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,typic cd impair mainli dust scratch
47,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,cd use cross interleav reed solomon code spread data disk
48,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,although good code simpl repeat code serv understand exampl
49,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,suppos take block data bit repres sound send three time
50,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,receiv examin three repetit bit bit take major vote
51,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,twist mere send bit order
52,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,block data bit first divid smaller block
53,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,cycl block send one bit first second etc
54,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,done three time spread data surfac disk
55,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,context simpl repeat code may appear effect
56,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,howev power code known effect correct burst error scratch dust spot interleav techniqu use
57,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,code appropri differ applic
58,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,deep space commun limit thermal nois receiv continu natur bursti natur
59,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,likewis narrowband modem limit nois present telephon network also model better continu disturb
60,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,cell phone subject rapid fade
61,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,high frequenc use caus rapid fade signal even receiv move inch
62,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,class channel code design combat fade
63,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,linear code term algebra code theori denot sub field code theori properti code express algebra term research
64,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,algebra code theori basic divid two major type code linear block code convolut codesit analyz follow three properti code mainli code word length total number valid code word minimum distanc two valid code word use mainli ham distanc sometim also distanc like lee distanc linear block code linear block code properti linear
65,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,sum two codeword also code word appli sourc bit block henc name linear block code
66,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,block code linear difficult prove code good one without properti
67,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,linear block code summar symbol alphabet e
68,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,binari ternari paramet n dmin n length codeword symbol number sourc symbol use encod dmin minimum ham distanc code
69,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,mani type linear block code cyclic code e
70,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,ham code repetit code pariti code polynomi code e
71,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,bch code reed solomon code algebra geometr code reed muller code perfect codesblock code tie sphere pack problem receiv attent year
72,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,two dimens easi visual
73,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,take bunch penni flat tabl push togeth
74,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,result hexagon pattern like bee nest
75,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,block code reli dimens cannot easili visual
76,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,power golay code use deep space commun use dimens
77,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,use binari code usual dimens refer length codeword defin
78,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,theori code use n dimension sphere model
79,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,exampl mani penni pack circl tabletop dimens mani marbl pack globe
80,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,consider enter choic code
81,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,exampl hexagon pack constraint rectangular box leav empti space corner
82,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,dimens get larger percentag empti space grow smaller
83,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,certain dimens pack use space code call perfect code
84,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,nontrivi use perfect code distanc ham code paramet satisfi r r r binari ternari golay code
85,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,anoth code properti number neighbor singl codeword may
86,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,first pack penni rectangular grid
87,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,penni near neighbor corner farther away
88,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,hexagon penni near neighbor
89,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,increas dimens number near neighbor increas rapidli
90,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,result number way nois make receiv choos neighbor henc error grow well
91,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,fundament limit block code inde code
92,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,may harder caus error singl neighbor number neighbor larg enough total error probabl actual suffer
93,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,properti linear block code use mani applic
94,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,exampl syndrom coset uniqu properti linear block code use trelli shape one best known shape code
95,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,convolut code idea behind convolut code make everi codeword symbol weight sum variou input messag symbol
96,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,like convolut use lti system find output system know input impuls respons
97,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,gener find output system convolut encod convolut input bit state convolut encod regist
98,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,fundament convolut code offer protect nois equival block code
99,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,mani case gener offer greater simplic implement block code equal power
100,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,encod usual simpl circuit state memori feedback logic normal xor gate
101,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,decod implement softwar firmwar
102,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,viterbi algorithm optimum algorithm use decod convolut code
103,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,simplif reduc comput load
104,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,reli search like path
105,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,although optimum gener found give good result low nois environ
106,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,convolut code use voiceband modem v
107,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,gsm mobil phone well satellit militari commun devic
108,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,cryptograph code cryptographi cryptograph code practic studi techniqu secur commun presenc third parti call adversari
109,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,gener construct analyz protocol block adversari variou aspect inform secur data confidenti data integr authent non repudi central modern cryptographi
110,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,modern cryptographi exist intersect disciplin mathemat comput scienc electr engin
111,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,applic cryptographi includ atm card comput password electron commerc
112,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,cryptographi prior modern age effect synonym encrypt convers inform readabl state appar nonsens
113,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,origin encrypt messag share decod techniqu need recov origin inform intend recipi therebi preclud unwant person
114,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,sinc world war advent comput method use carri cryptolog becom increasingli complex applic widespread
115,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,modern cryptographi heavili base mathemat theori comput scienc practic cryptograph algorithm design around comput hard assumpt make algorithm hard break practic adversari
116,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,theoret possibl break system infeas known practic mean
117,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,scheme therefor term comput secur theoret advanc e
118,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,improv integ factor algorithm faster comput technolog requir solut continu adapt
119,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,exist inform theoret secur scheme provabl cannot broken even unlimit comput power exampl one time pad scheme difficult implement best theoret breakabl comput secur mechan
120,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,line code line code also call digit baseband modul digit baseband transmiss method code chosen use within commun system baseband transmiss purpos
121,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,line code often use digit data transport
122,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,line code consist repres digit signal transport amplitud time discret signal optim tune specif properti physic channel receiv equip
123,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,waveform pattern voltag current use repres digit data transmiss link call line encod
124,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,common type line encod unipolar polar bipolar manchest encod
125,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,applic code theori anoth concern code theori design code help synchron
126,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,code may design phase shift easili detect correct multipl signal sent channel
127,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,anoth applic code use mobil phone system code divis multipl access cdma
128,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,phone assign code sequenc approxim uncorrel code phone
129,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,transmit code word use modul data bit repres voic messag
130,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,receiv demodul process perform recov data
131,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,properti class code allow mani user differ code use radio channel time
132,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,receiv signal user appear demodul low level nois
133,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,anoth gener class code automat repeat request arq code
134,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,code sender add redund messag error check usual ad check bit
135,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,check bit consist rest messag arriv receiv ask sender retransmit messag
136,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,simplest wide area network protocol use arq
137,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,common protocol includ sdlc ibm tcp internet x
138,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,extens field research topic problem match reject packet new packet
139,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,new one retransmiss typic number scheme use tcp
140,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,internet engin task forc ietf
141,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,group test group test use code differ way
142,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,consid larg group item differ particular way e
143,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,defect product infect test subject
144,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,idea group test determin item differ use test possibl
145,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,origin problem root second world war unit state armi air forc need test soldier syphili
146,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,analog code inform encod analog neural network brain analog signal process analog electron
147,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,aspect analog code includ analog error correct analog data compress analog encrypt
148,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,neural code neural code neurosci relat field concern sensori inform repres brain network neuron
149,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,main goal studi neural code character relationship stimulu individu ensembl neuron respons relationship among electr activ neuron ensembl
150,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,thought neuron encod digit analog inform neuron follow principl inform theori compress inform detect correct error signal sent throughout brain wider nervou system
151,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,see also code gain cover code error correct code fold reed solomon code group test ham distanc ham weight lee distanc list algebra code theori topic spatial code mimo multipl antenna research spatial divers code spatial code transmit replica inform signal along differ spatial path increas reliabl data transmiss
152,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,spatial interfer cancel code spatial multiplex code timelin inform theori data compress error correct code note refer elwyn r
153,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,berlekamp algebra code theori world scientif publish revis edit isbn
154,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,inform theori infer learn algorithm cambridg cambridg univers press
155,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,isbn vera pless introduct theori error correct code john wiley son inc
156,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,randi yate code theori tutori
157,Game theory,Useful in artificial intelligence and cybernetics.,Mathematical foundations,https://en.wikipedia.org/wiki/Game_theory,game theori studi mathemat model strateg interact among ration decis maker
158,Game theory,Useful in artificial intelligence and cybernetics.,Mathematical foundations,https://en.wikipedia.org/wiki/Game_theory,applic field social scienc well logic system scienc comput scienc
159,Game theory,Useful in artificial intelligence and cybernetics.,Mathematical foundations,https://en.wikipedia.org/wiki/Game_theory,origin address zero sum game particip gain loss exactli balanc particip
160,Game theory,Useful in artificial intelligence and cybernetics.,Mathematical foundations,https://en.wikipedia.org/wiki/Game_theory,st centuri game theori appli wide rang behavior relat umbrella term scienc logic decis make human anim comput
161,Game theory,Useful in artificial intelligence and cybernetics.,Mathematical foundations,https://en.wikipedia.org/wiki/Game_theory,modern game theori began idea mix strategi equilibria two person zero sum game proof john von neumann
162,Game theory,Useful in artificial intelligence and cybernetics.,Mathematical foundations,https://en.wikipedia.org/wiki/Game_theory,von neumann origin proof use brouwer fix point theorem continu map compact convex set becam standard method game theori mathemat econom
163,Game theory,Useful in artificial intelligence and cybernetics.,Mathematical foundations,https://en.wikipedia.org/wiki/Game_theory,paper follow book theori game econom behavior co written oskar morgenstern consid cooper game sever player
